0,95.27
1,96.22
2,96.13
3,96.89
4,96.43
5,97.12
6,97.3
7,97.36
8,97.61
9,97.4
10,97.5
11,97.83
12,97.76
13,97.9
14,97.65
15,97.58
16,98.11
17,97.84
18,98.07
19,97.82
20,98.05
21,98.26
22,98.14
23,98.07
24,98.09
25,97.97
26,98.08
27,98.22
28,98.18
29,98.25
30,98.3
31,98.3
32,98.26
33,98.37
34,98.27
35,98.28
36,98.34
37,98.39
38,98.5
39,98.4
40,98.5
41,98.38
42,98.54
43,98.47
44,98.43
45,98.31
46,98.46
47,98.37
48,98.51
49,98.61
50,98.49
51,98.64
52,98.52
53,98.59
54,98.59
55,98.69
56,98.6
57,98.66
58,98.67
59,98.61
60,98.69
61,98.65
62,98.65
63,98.66
64,98.54
65,98.44
66,98.69
67,98.72
68,98.68
69,98.68
70,98.72
71,98.59
72,98.67
73,98.68
74,98.76
75,98.67
76,98.77
77,98.62
78,98.75
79,98.64
80,98.57
81,98.66
82,98.73
83,98.73
84,98.74
85,98.72
86,98.71
87,98.79
88,98.77
89,98.67
90,98.68
91,98.7
92,98.77
93,98.63
94,98.69
95,98.74
96,98.69
97,98.75
98,98.57
99,98.71
100,98.71
101,98.75
102,98.75
103,98.66
104,98.75
105,98.75
106,98.83
107,98.91
108,98.78
109,98.74
110,98.77
111,98.69
112,98.73
113,98.77
114,98.77
115,98.88
116,98.76
117,98.78
118,98.74
119,98.85
120,98.82
121,98.79
122,98.8
123,98.84
124,98.75
125,98.83
126,98.86
127,98.75
128,98.77
129,98.73
130,98.8
131,98.82
132,98.8
133,98.77
134,98.84
135,98.86
136,98.87
137,98.8
138,98.82
139,98.86
140,98.83
141,98.81
142,98.78
143,98.85
144,98.8
145,98.83
